Id,Age,Job,Sex,Marital,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,CallStart,CallEnd,CarInsurance,IncomeGroup
983,33,services,Female,married,0,386,0,0,cellular,12,may,1,181,5,12:20:53,12:26:10,1,2
984,40,blue-collar,Male,married,0,1841,1,0,cellular,15,may,4,-1,0,13:37:45,13:52:25,1,1
985,58,admin,Male,married,0,826,0,0,telephone,12,jun,1,-1,0,12:58:48,13:13:33,1,3
986,42,unemployed,Male,married,0,1289,0,0,cellular,15,jul,4,415,2,13:16:36,13:20:46,1,3
987,35,admin,Male,married,0,-229,1,0,cellular,5,may,1,-1,0,14:25:28,14:28:24,0,3
988,49,admin,Female,married,0,2116,0,0,cellular,8,aug,3,-1,0,16:27:54,16:29:43,0,1
989,26,services,Female,single,0,127,1,1,cellular,23,jul,3,-1,0,11:18:31,11:19:56,0,3
990,29,student,Female,single,0,0,0,0,telephone,26,may,3,-1,0,11:31:26,11:32:18,0,3
991,38,technician,Female,married,0,3234,0,0,cellular,18,nov,2,-1,0,14:10:47,14:20:25,1,2
992,51,blue-collar,Male,married,0,0,1,0,telephone,5,may,2,-1,0,9:17:56,9:20:49,0,2
993,60,management,Female,married,0,3401,0,0,cellular,30,oct,1,270,1,11:20:43,11:25:37,1,2
994,28,technician,Male,single,0,386,0,0,cellular,25,may,1,-1,0,11:51:11,12:05:38,1,3
995,35,self-employed,Female,single,0,1129,1,0,cellular,21,nov,2,184,2,14:17:34,14:18:38,0,2
996,35,technician,Male,single,0,196,1,0,cellular,21,nov,1,-1,0,16:49:56,16:55:14,0,3
997,52,blue-collar,Male,married,0,994,0,0,cellular,22,aug,2,-1,0,10:41:42,10:43:31,0,2
998,47,housemaid,Male,married,0,2524,0,0,cellular,12,oct,1,-1,0,13:17:41,13:19:26,1,1
999,27,technician,Male,single,0,41,1,1,cellular,25,jul,1,-1,0,10:55:20,11:08:43,0,2
1000,35,technician,Female,single,0,0,0,0,cellular,14,jan,7,-1,0,16:40:42,16:43:49,1,1
1001,40,management,Female,married,0,226,1,0,cellular,12,may,2,-1,0,16:06:23,16:10:45,0,1
1002,35,self-employed,Male,married,0,1987,0,0,cellular,8,aug,3,-1,0,14:28:09,14:33:44,0,3
1003,30,self-employed,Male,single,0,163,0,0,cellular,9,feb,3,-1,0,17:52:27,17:56:11,0,2
1004,42,blue-collar,Male,married,0,-274,1,0,cellular,10,jul,1,-1,0,14:51:19,14:52:34,0,1
1005,48,management,Male,divorced,0,-130,1,0,cellular,29,sep,2,61,9,12:30:06,12:31:56,0,2
1006,47,admin,Male,married,0,2524,1,0,cellular,19,nov,1,-1,0,15:45:47,15:46:37,0,3
1007,80,retired,Female,married,0,1021,0,0,telephone,26,feb,1,-1,0,11:10:53,11:11:30,0,2
1008,36,management,Male,married,0,3949,0,0,cellular,28,jan,2,-1,0,14:54:11,14:56:21,1,1
1009,58,retired,Male,married,0,32948,0,0,telephone,29,may,2,-1,0,16:28:24,16:34:28,0,1
1010,30,admin,Male,single,0,315,1,0,cellular,14,may,3,346,4,12:12:30,12:27:14,1,3
1011,26,entrepreneur,Female,married,1,144,0,1,cellular,25,jul,1,-1,0,12:33:07,12:45:17,0,2
1012,59,management,Female,married,0,2319,1,0,telephone,15,may,32,-1,0,10:36:51,10:39:03,0,2
1013,39,admin,Male,single,0,23,0,0,telephone,11,jun,3,-1,0,15:46:52,15:49:34,0,2
1014,56,management,Female,married,0,2333,0,0,cellular,4,may,1,-1,0,13:39:42,13:43:46,1,3
1015,38,technician,Female,single,0,508,1,1,cellular,12,aug,2,-1,0,9:27:55,9:46:18,1,3
1016,29,entrepreneur,Male,married,0,3037,1,0,telephone,27,may,3,-1,0,9:18:18,9:18:52,0,3
1017,44,blue-collar,Female,married,0,2979,1,0,cellular,18,may,5,178,3,15:15:39,15:15:57,0,3
1018,31,technician,Female,married,0,1197,1,0,telephone,24,jun,3,-1,0,17:29:38,17:35:29,0,3
1019,38,blue-collar,Female,married,0,5839,1,0,telephone,4,jun,2,-1,0,17:50:45,18:07:09,1,1
1020,36,blue-collar,Male,married,0,722,1,0,telephone,20,may,2,-1,0,12:32:20,12:36:48,0,3
1021,40,blue-collar,Male,married,0,72,1,0,telephone,26,jun,3,-1,0,14:20:15,14:22:05,0,2
1022,34,entrepreneur,Female,married,0,7279,1,0,cellular,12,may,1,-1,0,16:11:14,16:25:56,1,2
1023,51,technician,Male,married,0,313,0,1,cellular,8,jul,1,-1,0,17:04:26,17:10:44,0,1
1024,59,retired,Male,married,0,25947,0,0,cellular,13,aug,2,-1,0,9:07:55,9:12:47,0,2
1025,23,student,Female,single,0,431,0,0,cellular,15,feb,3,186,2,13:52:17,13:55:38,1,3
1026,45,management,Female,married,0,849,0,0,telephone,13,may,1,-1,0,12:12:33,12:13:33,0,3
1027,62,retired,Female,married,0,1495,0,0,cellular,13,oct,1,57,2,16:31:38,16:46:34,1,3
1028,42,technician,Female,married,0,849,0,0,cellular,13,aug,2,-1,0,17:36:15,17:42:58,0,3
1029,34,blue-collar,Female,single,0,-90,1,0,cellular,18,may,1,370,1,12:11:09,12:11:29,0,2
1030,39,blue-collar,Male,married,1,-931,1,0,telephone,28,may,5,-1,0,15:04:33,15:06:05,0,3
1031,36,services,Female,divorced,0,82,1,0,cellular,10,jul,1,-1,0,12:02:35,12:06:21,0,1
1032,57,housemaid,Female,married,0,2785,0,0,cellular,11,aug,4,-1,0,10:52:03,11:02:13,1,2
1033,58,admin,Female,divorced,0,1947,0,0,telephone,26,oct,1,-1,0,14:58:04,15:01:52,1,2
1034,45,blue-collar,Male,married,0,-485,1,0,cellular,7,aug,2,-1,0,13:54:15,13:56:17,0,1
1035,49,technician,Male,divorced,0,1807,1,0,cellular,12,mar,1,-1,0,15:11:11,15:15:00,1,1
1036,61,retired,Female,married,0,938,0,0,cellular,15,jul,2,183,3,15:20:34,15:27:06,1,1
1037,39,unemployed,Female,married,0,2245,0,0,cellular,21,nov,2,-1,0,17:03:33,17:16:02,1,2
1038,36,self-employed,Female,single,0,1240,0,0,cellular,31,jul,3,-1,0,15:49:38,16:03:10,1,3
1039,34,management,Male,married,0,611,0,0,cellular,2,jun,1,-1,0,16:27:19,16:33:09,1,3
1040,33,blue-collar,Female,married,0,35,0,0,cellular,15,may,3,-1,0,10:25:45,10:26:32,0,2
1041,67,retired,Male,married,0,2540,0,0,telephone,14,jun,5,116,4,11:04:09,11:08:47,1,1
1042,29,unemployed,Female,single,0,523,0,0,cellular,5,feb,1,-1,0,9:55:47,10:01:38,0,1
1043,31,technician,Female,single,0,882,0,0,cellular,4,sep,1,93,1,12:26:35,12:31:28,1,3
1044,37,blue-collar,Male,married,0,655,1,0,cellular,5,feb,2,258,4,14:23:53,14:26:00,0,1
1045,36,services,Male,married,0,413,1,0,telephone,13,may,1,176,1,12:46:47,12:47:47,0,1
1046,73,retired,Male,divorced,0,2308,0,0,telephone,30,mar,2,-1,0,13:50:49,13:53:32,1,1
1047,44,services,Male,married,0,1422,1,0,telephone,20,may,8,-1,0,15:40:22,15:42:31,0,3
1048,41,blue-collar,Male,married,0,665,1,0,telephone,19,may,3,-1,0,9:28:16,9:30:38,0,3
1049,27,management,Female,married,0,802,0,0,cellular,22,sep,1,-1,0,9:42:13,9:51:42,1,3
1050,29,admin,Female,divorced,0,0,0,0,telephone,9,may,1,-1,0,12:06:38,12:13:11,0,3
1051,37,admin,Female,married,0,1967,0,0,telephone,27,oct,1,-1,0,16:33:21,16:39:37,1,1
1052,34,management,Female,married,0,519,0,0,cellular,11,aug,3,-1,0,14:44:45,14:45:42,0,3
1053,49,management,Female,single,0,7443,0,0,telephone,19,jun,5,211,2,13:38:18,13:43:11,1,3
1054,32,technician,Female,single,0,3297,0,0,cellular,11,aug,2,-1,0,13:54:13,13:55:52,0,2
1055,30,management,Female,single,0,30,0,0,cellular,21,aug,5,-1,0,13:57:22,14:01:02,0,3
1056,48,blue-collar,Male,married,0,794,0,0,cellular,11,aug,6,-1,0,11:19:55,11:22:10,0,1
1057,50,blue-collar,Female,married,0,74,1,1,telephone,27,may,1,-1,0,15:57:53,16:00:19,0,1
1058,25,student,Male,single,0,203,0,0,cellular,4,may,1,-1,0,14:53:22,14:55:10,0,1
1059,32,housemaid,Male,married,0,163,0,0,cellular,13,aug,2,-1,0,13:16:29,13:18:41,0,2
1060,31,self-employed,Male,single,0,1815,0,0,telephone,30,apr,1,80,1,15:29:05,15:30:52,0,2
1061,36,blue-collar,Male,married,0,6290,1,0,telephone,3,jun,20,-1,0,11:10:13,11:10:32,0,1
1062,25,blue-collar,Female,single,0,2354,0,1,telephone,27,may,1,-1,0,13:54:49,13:56:27,0,2
1063,34,blue-collar,Male,married,0,3527,1,0,cellular,21,nov,1,-1,0,11:07:23,11:24:25,1,1
1064,57,management,Male,divorced,0,6468,1,0,cellular,31,mar,4,-1,0,15:41:04,15:52:28,0,3
1065,73,retired,Female,divorced,0,3203,0,0,cellular,20,apr,1,-1,0,11:36:42,11:39:10,1,2
1066,29,management,Male,single,0,502,0,0,cellular,8,jul,1,87,5,11:08:52,11:25:00,1,2
1067,32,entrepreneur,Female,married,0,11591,1,0,cellular,18,nov,1,-1,0,14:30:05,14:30:48,0,1
1068,38,housemaid,Female,married,0,-278,1,0,cellular,28,jul,2,-1,0,13:31:39,13:34:02,0,3
1069,52,retired,Male,divorced,0,-309,1,0,telephone,19,jun,2,-1,0,9:41:48,9:50:08,1,1
1070,34,management,Male,single,0,7263,1,0,telephone,6,apr,1,-1,0,16:46:12,16:47:38,0,1
1071,58,blue-collar,Male,married,0,602,1,0,cellular,13,may,1,-1,0,9:55:44,9:59:05,0,1
1072,36,self-employed,Female,married,0,7343,0,0,cellular,17,nov,1,-1,0,14:46:09,14:47:27,0,3
1073,38,admin,Male,married,0,1988,0,0,cellular,2,jun,1,67,4,16:17:24,16:19:07,1,3
1074,32,admin,Male,married,0,57,0,0,cellular,9,jul,2,-1,0,12:11:29,12:20:19,0,3
1075,37,unemployed,Female,married,0,1978,0,0,cellular,9,sep,1,182,1,11:01:07,11:07:51,1,3
1076,29,technician,Male,single,0,-219,1,0,cellular,15,may,3,368,2,12:43:00,12:44:25,0,3
1077,37,management,Female,married,0,1506,0,0,cellular,2,nov,3,80,3,12:00:08,12:01:49,0,3
1078,59,management,Female,married,0,3342,0,0,cellular,18,mar,2,188,6,12:40:55,12:48:42,1,2
1079,32,management,Male,married,0,210,0,0,cellular,14,jul,3,-1,0,17:52:55,17:54:56,0,3
1080,36,management,Male,married,0,495,0,0,cellular,5,aug,3,97,2,16:37:07,16:39:44,1,1
1081,29,services,Male,married,0,182,1,0,telephone,13,may,3,-1,0,12:04:54,12:05:32,0,2
1082,44,management,Female,single,0,1424,1,0,cellular,8,aug,2,-1,0,9:40:55,9:44:16,0,1
1083,33,entrepreneur,Female,married,0,-122,0,0,cellular,24,jul,5,-1,0,12:09:34,12:11:37,0,3
1084,43,entrepreneur,Female,married,0,104,1,0,cellular,18,jul,3,-1,0,16:54:37,17:05:12,1,2
1085,32,management,Female,married,0,302,1,1,telephone,23,feb,1,384,2,15:19:11,15:20:12,1,1
1086,42,management,Female,divorced,0,5037,0,0,cellular,16,jul,6,84,14,16:43:39,16:45:19,0,3
1087,27,unemployed,Male,single,0,37,1,0,telephone,13,may,3,-1,0,16:11:26,16:14:09,0,1
1088,35,management,Male,single,0,80,0,0,cellular,4,sep,2,94,1,12:25:58,12:33:12,1,2
1089,54,management,Male,married,0,154,0,0,telephone,9,may,3,-1,0,16:04:56,16:07:31,0,1
1090,73,retired,Female,married,0,448,0,0,cellular,22,jun,1,90,1,15:33:19,15:34:27,0,3
1091,34,technician,Male,married,0,-259,1,0,telephone,27,may,2,-1,0,17:58:06,18:00:10,0,1
1092,31,management,Male,single,0,0,0,0,cellular,25,aug,5,-1,0,12:19:04,12:22:15,0,3
1093,25,technician,Male,single,0,505,0,1,cellular,17,nov,2,-1,0,17:49:23,17:55:49,1,2
1094,43,blue-collar,Male,married,0,-476,1,0,telephone,26,may,1,-1,0,16:10:31,16:10:47,0,1
1095,52,blue-collar,Male,married,0,1405,0,1,cellular,17,jul,2,-1,0,17:02:03,17:14:36,1,3
1096,42,management,Female,single,0,50,0,0,telephone,5,may,1,-1,0,10:28:23,10:29:11,0,2
1097,37,blue-collar,Female,married,0,103,1,0,cellular,12,may,1,-1,0,9:54:14,9:56:47,0,2
1098,36,technician,Female,married,0,1368,0,0,cellular,1,jun,1,292,5,17:51:47,18:00:23,1,3
1099,64,retired,Male,married,0,2031,0,0,cellular,13,nov,5,-1,0,12:29:26,12:32:48,0,3
1100,40,retired,Female,married,0,407,1,0,cellular,2,feb,1,271,1,12:58:33,13:01:53,0,1
1101,41,management,Male,divorced,0,846,0,1,cellular,23,jul,3,-1,0,9:10:17,9:13:43,0,2
1102,35,technician,Male,single,0,1693,1,0,cellular,10,feb,1,-1,0,9:34:18,9:42:53,1,3
1103,29,technician,Male,single,0,3466,0,0,cellular,21,apr,1,-1,0,9:43:52,9:48:26,1,1
1104,38,student,Male,married,0,134,0,0,cellular,27,aug,8,-1,0,11:48:43,11:50:14,0,1
1105,41,blue-collar,Female,married,0,167,0,0,telephone,20,jun,1,-1,0,14:21:31,14:22:19,0,2
1106,22,student,Male,single,0,2488,0,0,cellular,8,nov,2,38,10,9:44:13,9:51:42,1,2
1107,58,unemployed,Male,married,0,1625,0,0,cellular,5,feb,2,-1,0,15:06:40,15:11:26,1,3
1108,50,blue-collar,Male,married,0,12519,1,0,cellular,21,nov,3,34,1,17:02:43,17:12:58,1,3
1109,34,blue-collar,Female,single,0,-96,1,0,telephone,27,may,2,-1,0,10:18:26,10:20:59,0,1
1110,41,services,Female,married,0,510,0,0,telephone,9,jun,2,-1,0,9:01:26,9:06:42,0,1
1111,47,admin,Male,married,0,726,0,0,telephone,17,jun,3,-1,0,12:05:07,12:06:07,0,3
1112,54,technician,Female,married,0,473,0,1,cellular,13,aug,1,-1,0,11:39:53,11:41:45,0,3
1113,35,technician,Male,married,0,150,0,0,cellular,18,aug,5,-1,0,17:27:26,17:31:28,0,3
1114,40,housemaid,Female,married,0,0,0,0,telephone,6,oct,1,-1,0,11:17:45,11:17:51,0,2
1115,28,self-employed,Male,single,0,5679,1,0,cellular,9,feb,4,-1,0,13:34:14,13:45:55,1,3
1116,52,management,Female,married,0,1065,1,1,telephone,30,may,1,-1,0,10:15:44,10:18:23,0,2
1117,48,blue-collar,Male,married,0,1730,1,0,cellular,4,may,1,89,3,16:58:19,17:04:20,1,2
1118,55,housemaid,Female,divorced,0,77,0,0,cellular,31,jul,6,-1,0,15:21:56,15:29:39,1,3
1119,32,blue-collar,Male,married,0,169,1,0,cellular,14,may,2,-1,0,15:13:36,15:18:27,0,1
1120,40,blue-collar,Male,married,0,-108,1,0,telephone,19,jun,3,-1,0,14:35:35,14:38:04,0,2
1121,35,blue-collar,Female,married,0,503,1,1,telephone,9,may,2,-1,0,12:23:45,12:24:42,0,1
1122,29,self-employed,Male,single,0,415,0,0,cellular,29,jan,1,-1,0,10:41:19,10:43:21,0,1
1123,30,management,Male,divorced,0,415,1,1,cellular,6,may,1,343,4,10:57:44,11:14:08,1,2
1124,36,self-employed,Male,single,0,74,1,1,cellular,12,may,2,-1,0,9:49:13,9:52:31,0,1
1125,34,blue-collar,Male,married,0,-106,1,0,telephone,27,may,1,-1,0,15:10:03,15:14:00,0,2
1126,60,unemployed,Male,married,0,0,0,0,cellular,22,jul,1,412,1,11:48:14,12:08:07,1,3
1127,50,blue-collar,Female,divorced,0,149,1,0,telephone,7,may,1,-1,0,11:21:43,11:22:57,0,3
1128,25,student,Female,single,0,1747,1,0,cellular,24,jul,1,-1,0,12:21:05,12:36:08,1,1
1129,27,blue-collar,Male,married,0,484,1,0,cellular,15,may,1,361,2,13:12:18,13:15:48,0,2
1130,43,unemployed,Male,divorced,0,4478,1,0,telephone,13,may,1,-1,0,17:48:32,17:50:45,0,2
1132,37,services,Male,married,0,345,1,1,cellular,16,apr,1,148,1,14:08:39,14:10:33,0,1
1133,58,blue-collar,Female,married,0,76,1,0,telephone,5,may,2,-1,0,13:15:12,13:17:48,0,3
1134,34,technician,Female,single,0,2733,0,0,cellular,14,jul,1,-1,0,16:02:24,16:12:28,1,1
1135,32,admin,Male,single,0,1649,0,0,cellular,27,may,2,-1,0,10:31:13,10:34:37,0,2
1136,29,admin,Male,single,0,464,0,0,cellular,9,nov,2,91,3,14:56:40,15:00:08,1,2
1137,70,retired,Male,divorced,0,6850,0,0,telephone,3,sep,1,182,4,10:15:02,10:18:50,0,2
1138,42,admin,Male,married,0,16517,0,0,cellular,15,mar,5,203,4,11:33:22,11:42:31,0,2
1139,33,management,Female,single,0,4176,0,0,cellular,26,mar,3,-1,0,14:36:25,14:41:13,1,2
1140,45,entrepreneur,Female,married,0,3689,1,0,cellular,7,may,1,169,5,13:42:19,13:48:56,0,2
1141,39,management,Male,divorced,0,-999,1,0,telephone,27,may,1,-1,0,15:38:47,15:44:00,0,1
1142,51,blue-collar,Male,married,0,541,0,0,cellular,11,aug,3,-1,0,9:17:30,9:28:33,1,2
1143,22,student,Male,single,0,120,0,0,cellular,7,dec,5,-1,0,14:35:48,14:39:53,0,1
1144,38,services,Female,married,0,175,0,0,telephone,17,jun,2,-1,0,12:45:32,12:47:44,0,3
1145,51,blue-collar,Female,married,0,7180,1,0,telephone,14,may,1,-1,0,15:15:29,15:30:56,1,1
1146,30,entrepreneur,Female,single,0,732,0,0,cellular,3,feb,4,-1,0,16:27:16,16:50:40,1,2
1147,38,admin,Male,divorced,0,19,1,0,telephone,30,may,2,-1,0,10:12:28,10:22:32,1,1
1149,42,services,Female,married,0,1376,1,0,cellular,2,jun,2,92,4,12:31:20,12:35:51,1,1
1150,24,student,Male,single,0,822,0,0,cellular,27,oct,1,91,2,12:00:15,12:03:19,1,1
1151,34,entrepreneur,Female,single,1,-200,0,1,cellular,25,jul,5,-1,0,15:57:52,16:02:00,0,1
1152,55,technician,Female,divorced,0,35,1,0,cellular,20,aug,4,-1,0,11:53:51,11:55:57,0,1
1153,39,blue-collar,Female,married,0,568,1,0,telephone,21,may,3,-1,0,17:17:14,17:20:07,0,1
1154,51,admin,Male,married,0,684,1,0,cellular,20,nov,1,-1,0,13:38:44,13:39:52,0,2
1155,23,services,Male,single,0,91,1,0,telephone,16,may,2,-1,0,10:36:02,10:42:16,0,2
1156,31,technician,Male,married,0,367,0,0,cellular,28,aug,17,-1,0,10:32:20,10:33:39,0,1
1157,36,technician,Female,divorced,0,69,1,0,cellular,12,may,2,369,3,9:26:11,9:27:12,0,2
1158,37,management,Female,married,0,9269,1,1,cellular,17,apr,1,149,2,10:22:14,10:23:25,0,1
1159,30,management,Female,single,0,5359,0,0,cellular,26,feb,1,191,3,13:54:34,14:01:41,1,2
1160,38,admin,Female,married,0,1767,1,0,cellular,9,jul,4,239,7,16:59:58,17:08:01,1,3
1161,32,entrepreneur,Male,single,0,-34,1,0,cellular,11,mar,1,-1,0,14:46:25,14:48:06,1,3
1162,32,management,Female,single,0,41,0,0,cellular,21,aug,5,-1,0,17:03:43,17:15:09,1,3
1163,53,blue-collar,Male,married,0,1138,1,0,cellular,6,aug,2,-1,0,16:20:34,16:26:49,0,3
1164,32,blue-collar,Male,married,0,897,1,0,cellular,7,apr,3,322,2,17:34:14,17:39:07,0,1
1165,27,services,Female,married,0,511,1,0,telephone,30,jun,5,-1,0,17:20:42,17:22:07,0,2
1166,34,management,Female,married,0,589,0,0,cellular,1,sep,1,44,3,9:03:02,9:08:02,1,3
1167,27,blue-collar,Female,single,0,497,1,0,cellular,20,apr,2,272,1,13:18:01,13:22:16,0,1
1168,27,student,Male,single,0,118,0,0,cellular,25,may,1,-1,0,17:09:14,17:11:06,0,2
1169,24,technician,Male,single,0,-73,1,0,cellular,18,may,2,-1,0,9:48:25,9:48:32,0,2
1170,56,technician,Female,married,0,1093,0,0,cellular,7,aug,4,-1,0,12:45:23,12:46:52,0,1
1171,63,retired,Male,divorced,0,0,0,0,cellular,13,may,1,181,2,9:29:50,9:34:13,1,1
1172,32,management,Female,single,0,0,0,0,cellular,29,aug,2,-1,0,12:46:22,12:50:37,0,1
1173,46,management,Male,married,0,273,1,0,cellular,15,sep,1,105,3,9:26:17,9:58:59,1,1
1174,35,self-employed,Female,married,0,0,0,0,cellular,12,aug,2,-1,0,14:01:49,14:02:53,0,1
1175,47,admin,Male,married,0,407,1,0,telephone,5,jun,12,-1,0,13:22:54,13:24:01,0,2
1176,45,technician,Female,married,0,377,1,0,telephone,19,jun,3,-1,0,10:37:08,10:51:03,1,3
1177,31,blue-collar,Male,married,0,0,0,0,telephone,23,jul,1,-1,0,14:54:16,14:54:52,0,2
1178,32,services,Female,single,0,-23,0,0,cellular,11,may,1,305,1,13:53:58,13:57:03,0,3
1179,34,services,Female,married,0,0,1,0,telephone,19,may,4,-1,0,11:20:18,11:22:13,0,1
1180,46,management,Male,married,0,11385,0,0,cellular,24,mar,3,-1,0,9:17:41,9:22:10,1,3
1181,32,technician,Male,single,0,5514,0,0,cellular,22,apr,1,182,1,17:09:50,17:15:09,1,1
1182,27,admin,Female,married,0,897,0,0,cellular,5,jun,1,-1,0,10:51:08,10:57:45,1,3
1183,31,management,Male,single,0,533,0,0,telephone,12,may,1,90,10,15:25:51,15:32:03,1,3
1184,31,blue-collar,Male,married,0,335,1,0,telephone,8,may,1,-1,0,17:40:19,17:44:05,0,2
1185,37,unemployed,Male,married,0,4769,0,0,cellular,29,jan,1,-1,0,12:39:36,12:41:40,0,1
1186,29,blue-collar,Female,married,0,2312,1,0,telephone,14,jul,3,-1,0,13:10:59,13:12:48,0,2
1187,29,blue-collar,Female,married,0,1175,1,1,cellular,30,jul,4,-1,0,15:47:09,15:49:30,0,1
1188,45,services,Female,married,0,-406,1,1,cellular,21,jul,2,-1,0,12:29:18,12:33:54,0,2
1189,57,admin,Female,married,0,403,1,0,cellular,18,may,1,340,2,15:04:08,15:14:11,1,2
1190,39,technician,Male,divorced,1,3,0,0,cellular,6,may,1,-1,0,14:32:42,14:40:50,1,3
1191,26,student,Male,single,0,8015,0,0,cellular,26,may,1,-1,0,12:16:18,12:18:07,0,2
1192,48,admin,Female,married,0,50,0,1,cellular,21,oct,1,-1,0,13:15:46,13:22:45,1,1
1193,54,management,Male,married,0,4080,0,0,telephone,5,may,1,-1,0,15:07:39,15:09:59,0,2
1194,37,technician,Male,married,0,88,0,0,cellular,6,may,1,90,3,12:45:24,12:48:39,1,3
1195,31,technician,Male,married,0,1173,1,0,cellular,14,jul,3,-1,0,17:07:31,17:14:55,1,3
1196,39,management,Male,married,0,2198,0,0,telephone,16,jun,1,-1,0,13:17:45,13:24:43,0,1
1197,35,technician,Female,married,0,13,0,0,cellular,22,aug,2,-1,0,16:07:52,16:09:26,0,1
1198,35,self-employed,Male,single,0,4294,0,0,telephone,26,jun,4,-1,0,17:05:19,17:14:08,0,3
1199,31,management,Male,married,0,917,1,0,cellular,27,aug,9,-1,0,15:33:48,15:35:28,0,1
1200,57,admin,Male,married,0,4168,1,1,telephone,16,may,1,-1,0,16:06:03,16:06:50,0,2
1201,41,management,Female,married,0,2767,0,0,cellular,30,apr,1,-1,0,11:45:19,11:46:34,0,3
1202,55,admin,Female,married,0,139,0,0,cellular,30,apr,1,-1,0,13:05:24,13:09:25,1,2
1203,38,admin,Female,divorced,0,485,1,0,cellular,2,feb,1,-1,0,14:06:35,14:10:47,0,1
1204,32,blue-collar,Male,single,0,226,1,0,telephone,5,jun,5,-1,0,16:55:18,17:02:24,0,2
1205,39,management,Male,single,0,11971,1,0,telephone,15,may,10,179,5,10:18:56,10:20:11,0,2
1206,42,technician,Male,married,0,300,1,0,cellular,19,nov,1,-1,0,14:35:16,14:36:32,0,3
1207,75,retired,Female,divorced,0,37127,0,0,cellular,11,feb,1,-1,0,14:44:12,14:52:37,0,2
1208,48,management,Male,married,0,36686,0,0,cellular,30,apr,1,-1,0,13:16:18,13:21:13,0,2
1209,38,management,Male,married,0,1722,1,0,cellular,10,jul,1,-1,0,12:02:42,12:11:02,1,1
1210,46,technician,Male,single,0,628,0,0,cellular,20,nov,5,-1,0,11:18:46,11:26:20,0,3
1211,35,self-employed,Female,single,0,353,0,0,cellular,11,feb,1,183,1,10:49:47,10:55:39,1,2
1212,33,technician,Female,single,0,119,0,1,cellular,21,jul,3,-1,0,15:54:34,15:57:56,0,2
1213,45,services,Female,married,0,-75,1,0,cellular,2,feb,1,252,1,10:38:06,10:40:20,0,3
1214,56,management,Male,married,0,171,0,1,telephone,17,jul,2,-1,0,15:34:05,15:44:15,0,3
1215,36,management,Female,married,0,255,0,0,cellular,25,aug,6,95,4,13:42:45,13:46:47,1,1
1216,35,blue-collar,Female,single,0,510,1,0,telephone,16,may,6,-1,0,16:12:31,16:13:52,0,1
1217,41,blue-collar,Female,married,0,2823,1,0,telephone,14,may,1,-1,0,12:41:34,12:55:52,1,1
1218,52,blue-collar,Male,married,0,1524,0,0,cellular,3,jul,6,-1,0,9:45:12,10:01:59,1,2
1219,34,blue-collar,Female,married,0,1454,1,0,cellular,11,feb,2,297,2,10:44:06,10:47:57,1,3
1220,31,blue-collar,Female,married,0,1664,1,0,cellular,20,apr,1,182,1,15:20:25,15:23:03,0,1
1221,64,self-employed,Male,married,0,661,0,0,cellular,21,dec,2,294,2,13:45:54,13:52:01,1,1
1222,46,management,Male,married,0,0,0,0,cellular,3,mar,13,-1,0,9:33:25,9:38:30,1,3
1223,69,technician,Male,married,0,482,0,0,cellular,29,jul,1,267,1,17:37:25,17:45:23,1,3
1224,32,management,Male,married,0,6138,0,0,cellular,29,jul,2,90,9,10:40:51,10:49:30,1,2
1225,44,management,Female,married,0,11972,0,0,telephone,19,jun,1,-1,0,17:38:15,17:40:22,0,1
1226,57,management,Male,married,0,334,1,0,cellular,15,may,2,365,2,14:04:59,14:07:48,0,1
1227,27,services,Male,single,0,1347,0,0,telephone,28,dec,1,193,11,11:04:44,11:18:28,1,1
1228,39,entrepreneur,Male,divorced,0,-271,1,0,cellular,7,may,1,-1,0,11:53:29,12:00:15,0,2
1229,30,management,Male,married,0,503,1,0,cellular,2,feb,1,-1,0,11:17:00,11:18:36,0,1
1230,33,services,Male,married,0,570,0,0,cellular,25,may,1,-1,0,14:19:17,14:20:27,0,3
1231,42,management,Female,married,0,849,1,0,cellular,8,oct,1,321,1,13:44:12,13:55:19,1,1
1232,30,services,Male,married,0,475,0,0,cellular,22,aug,5,-1,0,10:55:33,10:58:45,0,2
1233,31,technician,Female,married,0,120,0,0,cellular,8,aug,1,-1,0,12:18:26,12:35:06,1,1
1234,58,management,Male,married,0,37,0,0,cellular,18,aug,11,-1,0,9:01:12,9:02:36,0,1
1235,24,student,Male,single,0,82,1,0,telephone,5,may,2,-1,0,17:40:08,17:43:32,0,2
1236,39,technician,Female,married,0,2266,0,0,cellular,18,feb,4,-1,0,15:17:19,15:20:47,1,3
1237,32,technician,Male,single,0,1855,0,0,cellular,15,sep,2,134,1,15:12:23,15:14:29,1,2
1238,29,admin,Male,single,0,163,1,1,telephone,16,may,1,-1,0,16:40:11,16:53:34,1,1
1239,47,entrepreneur,Female,divorced,0,178,0,0,cellular,4,feb,1,-1,0,15:26:12,15:31:03,0,2
1240,43,technician,Male,married,0,0,1,1,cellular,4,feb,8,204,5,17:46:56,17:55:55,0,1
1241,38,blue-collar,Female,married,0,1401,0,0,cellular,13,may,1,-1,0,15:26:31,15:35:07,1,3
1242,38,technician,Female,married,0,922,1,1,cellular,17,jul,2,-1,0,17:52:55,17:59:23,0,2
